#Organism Group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Acinetobacter baumannii	2020CK-00054	"2020CK-00054","Clinical","SRS6608177"		PDT000733301.1	2020-05-07T16:16:41Z	USA	blood	clinical	PDS000062504.2	0		SAMN14792059	GCA_016489065.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-30=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2020CK-00053	"2020CK-00053","Clinical","SRS6608176"		PDT000733302.1	2020-05-07T16:16:41Z	USA	blood	clinical	PDS000062504.2	0		SAMN14792058	GCA_016489105.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-30=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-01048	"2021CK-01048","Acinetobacter_baumannii_2021CK-01048","SRS9189553"		PDT001067685.1	2021-06-12T02:29:55Z	USA	urine	clinical	PDS000062504.2	6		SAMN19677634	GCA_018868625.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-30=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN11763	"MRSN 11763","MRSN11763","SRS1340558"		PDT000114702.1	2016-03-15T22:11:08Z	USA:Washington, DC	blood	clinical	PDS000005865.1	4		SAMN04555481	GCA_016521035.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=PARTIAL_END_OF_CONTIG,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,blaADC-26=COMPLETE,blaOXA-66=COMPLETE,catA1=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN11766	"MRSN 11766","MRSN11766","SRS1340595"		PDT000114725.1	2016-03-15T22:11:09Z	USA:Washington, DC	wound	clinical	PDS000005865.1	4		SAMN04555504	GCA_016520545.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=PARTIAL,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,blaADC-26=COMPLETE,blaOXA-66=COMPLETE,catA1=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN7126	"MRSN 7126","MRSN7126","SRS1350045"		PDT000115284.1	2016-03-18T23:12:13Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005892.3	9		SAMN04568508	GCA_016519945.1	abaF=COMPLETE,adeS_H189Y=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-26=COMPLETE,blaOXA-64=COMPLETE,floR=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7137	"MRSN7137"		PDT000534411.1	2019-06-27T03:24:44Z	USA	wound	clinical	PDS000005892.3	9		SAMN12087712	GCA_006492635.1	abaF=COMPLETE,adeS_H189Y=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-26=COMPLETE,blaOXA-235=COMPLETE,blaOXA-64=COMPLETE,floR=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7637	"MRSN 7637","MRSN7637","SRS1335148"		PDT000113604.1	2016-03-11T04:26:16Z	USA:Washington, DC	wound	clinical	PDS000005863.2	13		SAMN04545402	GCA_016528465.1	abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-26=COMPLETE,blaCARB-16=COMPLETE,blaOXA-259=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7091	"MRSN 7091","MRSN7091","SRS1339130"		PDT000114634.1	2016-03-15T19:10:19Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005863.2	13		SAMN04555197	GCA_016521715.1	abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-26=COMPLETE,blaCARB-16=COMPLETE,blaOXA-259=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	MRSN11778	"MRSN 11778","MRSN11778","SRS1337508"		PDT000113788.1	2016-03-12T01:27:05Z	USA:Washington, DC	urine	clinical	PDS000005893.1	9		SAMN04547088	GCA_016528015.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-163=COMPLETE,blaOXA-121=COMPLETE	
